[PROBE] MathA NormReady stall: 53916 cycles
[PROBE] MathA NormReady stall: 54566 cycles
[PROBE] Math0/1 norm total: 44848 cycles
[PROBE] Math0/1 norm total: 45798 cycles
[PROBE] MathA NormReady stall: 55827 cycles
[PROBE] Math0/1 norm total: 46074 cycles
[PROBE] MathA NormReady stall: 56501 cycles
[PROBE] Math0/1 norm total: 44436 cycles
[PROBE] MathA NormReady stall: 54791 cycles
[PROBE] Math0/1 norm total: 39388 cycles
[PROBE] MathA NormReady stall: 49721 cycles
[PROBE] Math0/1 norm total: 44112 cycles
[PROBE] MathA NormReady stall: 53900 cycles
[PROBE] MathA NormReady stall: 54739 cycles
[PROBE] Math0/1 norm total: 44562 cycles
[PROBE] Math0/1 norm total: 46318 cycles
[PROBE] MathA NormReady stall: 55475 cycles
[PROBE] Math0/1 norm total: 45165 cycles
[PROBE] MathA NormReady stall: 55273 cycles
[PROBE] MathA NormReady stall: 48581 cycles
[PROBE] Math0/1 norm total: 39383 cycles
[PROBE] MathA NormReady stall: 54862 cycles
[PROBE] Math0/1 norm total: 44283 cycles
[PROBE] MathA NormReady stall: 52755 cycles
[PROBE] Math0/1 norm total: 43038 cycles
[PROBE] MathA NormReady stall: 50728 cycles
[PROBE] Math0/1 norm total: 41010 cycles
[PROBE] Math0/1 norm total: 41127 cycles
[PROBE] MathA NormReady stall: 50995 cycles
[PROBE] Math0/1 norm total: 45955 cycles
[PROBE] MathA NormReady stall: 55791 cycles
[PROBE] Math0/1 norm total: 43648 cycles
[PROBE] MathA NormReady stall: 53365 cycles
[PROBE] Math0/1 norm total: 35030 cycles
[PROBE] MathA NormReady stall: 44959 cycles
[PROBE] Math0/1 norm total: 40867 cycles
[PROBE] MathA NormReady stall: 50350 cycles
[PROBE] Math0/1 norm total: 45784 cycles
[PROBE] MathA NormReady stall: 55516 cycles
[PROBE] Math0/1 norm total: 43070 cycles
[PROBE] MathA NormReady stall: 52588 cycles
[PROBE] Math0/1 norm total: 45284 cycles
[PROBE] MathA NormReady stall: 55068 cycles
[PROBE] MathA NormReady stall: 52913 cycles
[PROBE] Math0/1 norm total: 43400 cycles
[PROBE] Math0/1 norm total: 43363 cycles
[PROBE] MathA NormReady stall: 53436 cycles
[PROBE] Math0/1 norm total: 42600 cycles
[PROBE] MathA NormReady stall: 52071 cycles
[PROBE] Math0/1 norm total: 43864 cycles
[PROBE] MathA NormReady stall: 53791 cycles
[PROBE] Math0/1 norm total: 44751 cycles
[PROBE] MathA NormReady stall: 54145 cycles
[PROBE] Math0/1 norm total: 44124 cycles
[PROBE] MathA NormReady stall: 54068 cycles
[PROBE] Math0/1 norm total: 44087 cycles
[PROBE] MathA NormReady stall: 53612 cycles
[PROBE] Math0/1 norm total: 44711 cycles
[PROBE] MathA NormReady stall: 54805 cycles
[PROBE] Math0/1 norm total: 43625 cycles
[PROBE] MathA NormReady stall: 53288 cycles
[PROBE] Math0/1 norm total: 45347 cycles
[PROBE] MathA NormReady stall: 55392 cycles
[PROBE] Math0/1 norm total: 44474 cycles
[PROBE] MathA NormReady stall: 53869 cycles
[PROBE] Math0/1 norm total: 43470 cycles
[PROBE] MathA NormReady stall: 53243 cycles
[PROBE] Math0/1 norm total: 45537 cycles
[PROBE] MathA NormReady stall: 55014 cycles
[PROBE] Math0/1 norm total: 45772 cycles
[PROBE] MathA NormReady stall: 55563 cycles
[PROBE] Math0/1 norm total: 42902 cycles
[PROBE] MathA NormReady stall: 52436 cycles
[PROBE] Math0/1 norm total: 39663 cycles
[PROBE] MathA NormReady stall: 49456 cycles
[PROBE] Math0/1 norm total: 42415 cycles
[PROBE] MathA NormReady stall: 51561 cycles
[PROBE] Math0/1 norm total: 46593 cycles
[PROBE] MathA NormReady stall: 55977 cycles
[PROBE] Math0/1 norm total: 41903 cycles
[PROBE] MathA NormReady stall: 51429 cycles
[PROBE] Math0/1 norm total: 43462 cycles
[PROBE] MathA NormReady stall: 53113 cycles
[PROBE] Math0/1 norm total: 42367 cycles
[PROBE] MathA NormReady stall: 51862 cycles
[PROBE] Math0/1 norm total: 42433 cycles
[PROBE] MathA NormReady stall: 52377 cycles
[PROBE] Math0/1 norm total: 43367 cycles
[PROBE] MathA NormReady stall: 52792 cycles
[PROBE] Math0/1 norm total: 45918 cycles
[PROBE] MathA NormReady stall: 55686 cycles
[PROBE] MathA NormReady stall: 49066 cycles
[PROBE] Math0/1 norm total: 39885 cycles
[KDA DEBUG] SharedStorageSize = 232448 bytes (227.0 KB)
[KDA DEBUG] MaxThreadsPerBlock = 512
[PROBE] MathA NormReady stall: 46451 cycles
[PROBE] Math0/1 norm total: 46531 cycles
[PROBE] MathA NormReady stall: 50342 cycles
[PROBE] Math0/1 norm total: 41651 cycles
[PROBE] Math0/1 norm total: 44205 cycles
[PROBE] MathA NormReady stall: 54078 cycles
[PROBE] Math0/1 norm total: 41039 cycles
[PROBE] MathA NormReady stall: 50174 cycles
[PROBE] Math0/1 norm total: 45776 cycles
[PROBE] MathA NormReady stall: 55144 cycles
[PROBE] Math0/1 norm total: 42641 cycles
[PROBE] MathA NormReady stall: 51996 cycles
